交易日期,交易时间,摘要,地区,收入/支出金额,余额,对方户名,对方账号,渠道
2026-01-08,16:49:52,支付宝转账,1001,+556.25,"1,287,930.67",吴婉莹,2088****0156,快捷支付
2026-01-08,16:49:52,支付宝转账,1001,"+2,125.00","1,290,055.67",吴婉莹,2088****0156,快捷支付
2026-01-08,16:49:52,支付宝转账,1001,"+3,200.00","1,293,255.67",吴婉莹,2088****0156,快捷支付
2026-01-08,16:56:20,银联入账,1001,"+3,560.00","1,296,815.67",吴婉莹,2088****0156,网上银行
2026-01-08,16:56:50,支付宝转账,1001,"+3,300.00","1,300,115.67",吴婉莹,2088****0156,快捷支付
2026-01-08,16:56:50,,1001,"+1,036.75","1,301,152.42",吴婉莹,,
2026-01-08,16:56:50,支付宝转账,1001,"+2,960.00","1,304,112.42",吴婉莹,2088****0156,快捷支付
2026-01-08,16:56:50,支付宝转账,1001,"+1,326.88","1,305,439.30",吴婉莹,2088****0156,快捷支付
2026-01-08,16:58:11,支付宝转账,1001,"+2,835.00","1,308,274.30",吴婉莹,2088****0156,快捷支付
2026-01-08,16:58:47,支付宝转账,1001,"+2,525.00","1,313,439.30",活期人民,,
2026-01-08,16:58:47,银联入账,1001,"+2,192.00","1,315,631.30",吴婉莹,2088****0156,快捷支付
2026-01-08,16:58:47,银联入账,,"+1,260.00","1,316,891.30",史晓琦,2088****0156,网上银行
2026-01-09,08:32:55,银联入账,1001,+950.00,"1,380,210.90",劳海萍,2088****0156,网上银行
2026-01-09,10:10:43,银联入账,1001,+540.00,"1,317,431.30",李新,2088****0156,网上银行
2026-01-09,10:10:58,他行汇入,1001,+240.00,"1,317,671.30",李笑言,6217880800005705993,其他
2026-01-09,10:11:49,银联入账,1001,+315.00,"1,317,986.30",张翠花,2088****0156,网上银行
2026-01-09,10:15:58,他行汇入,1001,+285.00,"1,319,041.30",朱靓,6230910199049722917,其他
2026-01-09,10:17:01,他行汇入,1001,+660.00,"1,319,701.30",涂柳,6217995840008731473,其他
2026-01-09,10:20:12,网转,4100,+600.00,"1,320,301.30",陈盈,6212264100033904404,手机银行
2026-01-09,10:25:41,网转,0200,"+5,100.00","1,325,401.30",陆天,6212260200005770116,手机银行
2026-01-09,10:29:52,他行汇入,1001,"+2,340.00","1,327,741.30",齐岩,6214855325337505,其他
2026-01-09,10:39:53,他行汇入,,+195.00,"1,327,936.30",袁玲,6228480020352536914,其他
2026-01-09,10:39:53,他行汇入,1001,"+3,240.00","1,331,176.30",姜楠,6214850205931931,其他
2026-01-09,10:51:10,银联入账,1001,"+2,975.00","1,334,151.30",杜珊珊,2088****0156,网上银行
2026-01-09,11:17:54,他行汇入,1001,"+1,800.00","1,335,951.30",秦海燕,6222621020020987609,其他
2026-01-09,11:41:55,银联入账,1001,+600.00,"1,380,810.90",林淑娟,2088****0156,快捷支付
2026-01-09,11:41:55,支付宝转账,1001,+900.00,"1,381,710.90",黄非易,2088****0156,快捷支付
2026-01-09,11:41:55,他行汇入,1001,"+1,440.00","1,383,150.90",叶昕,6217002580008886312,其他
2026-01-09,14:22:07,银联入账,1001,"+2,200.00","1,338,151.30",林恬然,2088****0156,网上银行
2026-01-09,14:28:49,银联入账,1001,+495.00,"1,338,646.30",莫慧琴,2088****0156,网上银行
2026-01-09,14:49:11,银联入账,1001,"+1,500.00","1,340,146.30",唐丽雯,1197****8685,网上银行
2026-01-09,14:50:14,他行汇入,1001,"+1,048.20","1,341,194.50",林姝男,6236680860000079580,其他
2026-01-09,14:52:19,他行汇入,1001,+300.00,"1,341,494.50",沈佳辉,,
2026-01-09,15:01:17,银联入账,1001,+690.00,"1,342,184.50",汪娜,2088****0156,网上银行
2026-01-09,15:04:23,银联入账,1001,"+2,064.00","1,344,248.50",姚莹莹,6033****1068,网上银行
2026-01-09,15:19:57,支付宝,1001,"+1,650.00","1,345,898.50",龚雪,2088****0156,快捷支付
2026-01-09,15:19:57,他行汇入,1001,+450.00,"1,347,248.50",其他,,
2026-01-09,15:40:51,他行汇入,1001,"+1,260.00","1,348,508.50",刘益苏,2088****0156,快捷支付
2026-01-09,15:40:51,他行汇入,,+900.00,"1,349,408.50",石小雪,6230523460034124470,其他
2026-01-09,15:41:37,他行汇入,1001,+600.00,"1,350,008.50",罗娟,6236682920003437884,其他
2026-01-09,15:47:28,他行汇入,1001,+500.00,"1,350,508.50",王凤,6217003660001531757,其他
2026-01-09,15:47:49,支付宝转账,1001,+180.00,"1,350,688.50",邓洁敏,2088****0156,快捷支付
2026-01-09,15:50:46,银联入账,1001,"+1,925.00","1,353,117.50",邵淑宜,2088****0156,网上银行
2026-01-09,15:51:32,银联入账,1001,"+1,500.00","1,354,617.50",王梦玲,2088****0156,快捷支付
2026-01-09,15:51:32,他行汇入,1001,"+2,400.00","1,357,017.50",李琴,6217003230053115444,其他
2026-01-09,15:57:16,支付宝,1001,"+1,260.00","1,358,277.50",李琴,2088****0156,快捷支付
2026-01-09,15:57:16,银联入账,1001,+675.00,"1,358,952.50",赵若廷,6214****0626,网上银行
2026-01-09,16:17:02,支付宝转账,,+450.00,"1,359,402.50",邹可涵,2088****0156,快捷支付
2026-01-09,16:17:02,他行汇入,1001,+750.00,"1,360,152.50",何颖,6225212003415665,其他
2026-01-09,16:20:26,支付宝转账,1001,+625.00,"1,360,777.50",方鸣轩,2088****0156,快捷支付
2026-01-09,16:20:26,网转,4000,"+3,150.00","1,363,927.50",林泽航,6212264000056930049,手机银行
2026-01-09,16:33:13,他行汇入,1001,+750.00,"1,364,677.50",袁玲,6228480020352536914,其他
2026-01-09,16:45:58,支付宝转账,1001,+425.00,"1,383,575.90",蔡维佳,2088****0156,快捷支付
2026-01-09,16:46:34,银联入账,1001,+600.00,"1,365,277.50",周家琦,2088****0156,网上银行
2026-01-09,16:46:42,他行汇入,1001,"+1,140.00","1,366,417.50",孙瑶,6214830253428733,其他
2026-01-09,17:00:42,支付宝转账,1001,+875.00,"1,367,292.50",路颖颖,2088****0156,快捷支付
2026-01-09,17:00:42,他行汇入,1001,+587.40,"1,367,879.90",刘圆,,
2026-01-09,17:21:00,网转,4402,+690.00,"1,368,569.90",张琳,6212264402027769631,手机银行
2026-01-09,17:31:06,他行汇入,1001,"+1,050.00","1,369,619.90",黎美玲,6217002020032073843,其他
2026-01-09,17:36:13,他行汇入,1001,+630.00,"1,370,249.90",汪会敏,6228480039349646370,其他
2026-01-09,17:44:05,他行汇入,1001,"+1,475.00","1,372,324.90",其他,,
2026-01-09,18:24:28,银联入账,1001,+136.00,"1,372,460.90",陈晓静,2088****0156,网上银行
2026-01-09,18:27:22,支付宝,,"+1,500.00","1,373,960.90",郭悦,2088****0156,快捷支付
2026-01-09,18:27:22,支付宝转账,1001,+800.00,"1,374,760.90",黄兆礼,2088****0156,快捷支付
2026-01-09,18:27:22,他行汇入,1001,+450.00,"1,375,210.90",叶雨欣,6217566200023352137,其他
2026-01-09,21:53:14,支付宝转账,1001,+550.00,"1,375,760.90",黄梓琪,2088****0156,快捷支付
2026-01-12,09:35:28,银联入账,,"+1,140.00","1,384,715.90",董晨晨,2088****0156,网上银行
2026-01-12,09:35:28,银联入账,1001,+510.00,"1,385,225.90",林小凤,2088****0156,网上银行
2026-01-12,10:25:22,银联入账,1001,"+1,080.00","1,386,305.90",谢青青,2088****0156,网上银行
2026-01-12,10:25:56,他行汇入,1001,"+1,140.00","1,387,445.90",任继玲,6216696200027203364,其他
2026-01-12,10:26:38,他行汇入,1001,+288.00,"1,387,733.90",刘书彦,6230520340011553375,其他
2026-01-12,10:27:37,银联入账,1001,"+1,125.00","1,388,858.90",许钧泰,2088****0156,网上银行
2026-01-12,10:35:00,银联入账,1001,"+2,340.00","1,391,198.90",李雪,2088****0156,网上银行
2026-01-12,10:44:06,银联入账,1001,"+3,500.00","1,394,698.90",吕玉婷,2088****0156,网上银行
2026-01-12,11:55:27,银联入账,1001,+350.00,"1,395,048.90",史瑞钰,,
2026-01-12,12:11:26,银联入账,1001,"+1,302.50","1,396,351.40",刘聪,6230****0784,网上银行
2026-01-12,12:42:59,银联入账,1001,+540.00,"1,396,891.40",陈伟琼,2088****0156,网上银行
2026-01-13,11:27:59,他行汇入,1001,+875.00,"1,399,386.40",其他,,
2026-01-13,13:31:14,他行汇入,1001,+238.00,"1,399,624.40",张雅静,6222620930006425732,其他
2026-01-13,13:44:56,他行汇入,,"+1,680.00","1,401,304.40",翟雅倩,6214836210712648,其他
2026-01-13,13:46:23,支付宝转账,1001,"+2,830.00","1,404,134.40",吴婉莹,2088****0156,快捷支付
2026-01-13,13:46:23,网转,1106,+300.00,"1,404,434.40",刘慧,6222021106001834229,手机银行
2026-01-13,14:06:27,银联入账,1001,+120.00,"1,397,011.40",马丽婷,2088****0156,网上银行
2026-01-13,15:18:29,银联入账,1001,+300.00,"1,404,734.40",贺润芝,6214****9283,网上银行
2026-01-13,16:22:58,银联入账,1001,"+2,000.00","1,408,484.40",吴婉莹,2088****0156,快捷支付
2026-01-13,16:22:58,银联入账,1001,"+1,875.00","1,410,359.40",吴婉莹,2088****0156,网上银行
2026-01-13,16:54:57,支付宝转账,1001,"+6,500.00","1,416,859.40",吴婉莹,2088****0156,快捷支付
2026-01-13,16:54:57,支付宝转账,1001,"+1,424.00","1,418,283.40",吴婉莹,2088****0156,快捷支付
2026-01-13,16:54:57,银联入账,1001,"+3,000.00","1,421,283.40",吴婉莹,2088****0156,网上银行
2026-01-13,17:15:46,支付宝转账,,"+3,000.00","1,424,283.40",吴婉莹,2088****0156,快捷支付
2026-01-13,17:15:46,支付宝转账,1001,"+5,250.00","1,429,533.40",吴婉莹,2088****0156,快捷支付
2026-01-13,17:15:46,支付宝转账,1001,"+2,375.00","1,431,908.40",吴婉莹,2088****0156,快捷支付
2026-01-13,17:15:46,支付宝转账,1001,"+1,750.00","1,433,658.40",吴婉莹,2088****0156,快捷支付
2026-01-13,17:15:46,支付宝转账,1001,"+1,159.75","1,434,818.15",吴婉莹,2088****0156,快捷支付
2026-01-13,17:15:46,支付宝转账,1001,"+1,500.00","1,436,318.15",吴婉莹,2088****0156,快捷支付
2026-01-13,17:20:55,他行汇入,1001,"+3,750.00","1,440,068.15",李丹丹,6228482678430054172,其他
2026-01-14,12:05:34,,1001,+30.00,"1,441,568.15",伍婷婷,,
2026-01-14,12:05:34,银联入账,1001,+375.00,"1,441,943.15",薛晓仪,2088****0156,网上银行
2026-01-14,14:00:10,银联入账,1001,+580.00,"1,442,523.15",许志英,2088****0156,网上银行
2026-01-14,14:34:16,银联入账,1001,"+1,580.00","1,444,103.15",许志英,2088****0156,网上银行
2026-01-14,14:35:04,银联入账,1001,"+3,000.00","1,450,463.15",活期人民,,
2026-01-14,14:35:29,银联入账,1001,"+1,875.00","1,452,338.15",许志英,2088****0156,网上银行
2026-01-14,14:35:47,银联入账,,"+1,000.00","1,453,338.15",许志英,2088****0156,网上银行
2026-01-14,14:36:07,银联入账,1001,"+2,400.00","1,455,738.15",许志英,2088****0156,网上银行
2026-01-14,14:36:45,银联入账,1001,"+3,600.00","1,459,338.15",许志英,2088****0156,网上银行
2026-01-14,14:37:07,他行汇入,1001,+300.00,"1,459,638.15",关志伟,6216910304705608,其他
2026-01-14,15:21:21,网转,3400,"+1,050.00","1,460,848.15",李淑贞,6215583400004643602,手机银行
2026-01-14,15:32:56,他行汇入,1001,+600.00,"1,461,448.15",严竑博,6221805200042524107,其他
2026-01-14,17:05:42,他行汇入,1001,"+1,050.00","1,462,498.15",郑佳璐,6214857719812457,其他
2026-01-14,18:04:50,支付宝转账,1001,"+1,290.00","1,463,788.15",杨小玲,2088****0156,快捷支付
2026-01-14,18:04:50,银联入账,1001,"+1,140.00","1,464,928.15",杨小玲,2088****0156,网上银行
2026-01-14,18:35:19,支付宝转账,,"+1,400.00","1,466,328.15",杨小玲,2088****0156,快捷支付
2026-01-14,18:35:19,他行汇入,1001,"+1,020.00","1,467,348.15",姚澜,6228480639167822878,其他
2026-01-14,20:54:03,银联入账,1001,"+1,470.00","1,441,538.15",林佳慧,2088****0156,网上银行
2026-01-15,10:16:44,银联入账,1001,"+1,063.25","1,469,011.40",吴婉莹,2088****0156,网上银行
2026-01-15,14:22:20,银联入账,1001,"+2,331.00","1,471,342.40",吴婉莹,2088****0156,网上银行
2026-01-15,14:22:42,银联入账,1001,"+2,861.00","1,474,203.40",吴婉莹,2088****0156,网上银行
2026-01-15,14:23:06,银联入账,1001,+755.00,"1,474,958.40",吴婉莹,2088****0156,网上银行
2026-01-15,14:23:29,银联入账,1001,"+1,200.00","1,476,158.40",吴婉莹,2088****0156,网上银行
2026-01-15,14:23:46,银联入账,1001,"+2,310.25","1,478,468.65",活期人民,,
2026-01-15,14:24:15,银联入账,1001,"+3,925.00","1,482,393.65",吴婉莹,2088****0156,网上银行
2026-01-15,14:24:49,银联入账,1001,"+1,840.25","1,484,233.90",吴婉莹,2088****0156,网上银行
2026-01-15,14:25:21,银联入账,1001,"+2,160.00","1,486,393.90",吴婉莹,2088****0156,网上银行
2026-01-15,14:26:20,银联入账,1001,+722.00,"1,488,807.53",活期人民,,
2026-01-15,14:26:40,银联入账,1001,"+2,045.00","1,490,852.53",吴婉莹,2088****0156,网上银行
2026-01-15,14:27:26,银联入账,,"+1,779.00","1,492,631.53",吴婉莹,2088****0156,网上银行
2026-01-15,14:27:46,银联入账,1001,"+1,100.00","1,493,731.53",吴婉莹,2088****0156,网上银行
2026-01-15,14:28:09,银联入账,1001,"+1,500.00","1,495,231.53",吴婉莹,2088****0156,网上银行
2026-01-15,14:28:29,他行汇入,1001,"+1,132.00","1,496,363.53",雷敏,6217003370017895366,其他
2026-01-15,14:43:08,银联入账,1001,+900.00,"1,498,263.53",吴婉莹,2088****0156,网上银行
2026-01-15,15:22:50,银联入账,1001,"+1,040.00","1,499,303.53",吴婉莹,2088****0156,快捷支付
2026-01-15,15:22:50,支付宝转账,1001,+659.60,"1,499,963.13",吴婉莹,2088****0156,快捷支付
2026-01-15,15:22:50,支付宝转账,1001,"+1,100.00","1,501,063.13",吴婉莹,2088****0156,快捷支付
2026-01-15,15:22:50,他行汇入,1001,"+5,160.00","1,506,223.13",深圳市两,,
2026-01-15,18:24:28,支付宝转账,,+840.00,"1,507,063.13",吴婉莹,2088****0156,快捷支付
2026-01-15,23:11:00,银联入账,1001,+600.00,"1,467,948.15",程文静,2088****0156,网上银行
2026-01-16,00:48:02,他行汇入,1001,+940.00,"1,508,805.63",刘晶,6217991210028875854,其他
2026-01-16,00:54:19,网转,1116,"+2,850.00","1,511,655.63",秦婉,6212251116001284756,手机银行
2026-01-16,09:43:39,银联入账,1001,"+1,980.00","1,513,635.63",林琴琴,2088****0156,网上银行
2026-01-16,18:24:28,网转,1207,+802.50,"1,507,865.63",钱熙然,6222031207004658538,手机银行
2026-01-19,13:08:09,支付宝,1001,+500.00,"1,515,635.63",王楠,2088****0156,快捷支付
2026-01-19,15:49:21,他行汇入,1001,"+1,500.00","1,515,135.63",陈春蕊,6214839317732063,其他
2026-01-21,13:08:09,他行汇入,1001,+800.00,"1,516,435.63",曹芷若,2088****0156,快捷支付
2026-01-21,13:08:09,他行汇入,,"+1,000.00","1,517,435.63",郭倩,,
2026-01-21,17:59:44,他行汇入,1001,+750.00,"1,518,185.63",吴婷婷,6217562000003365651,其他
2026-01-21,18:45:46,支付宝转账,1001,+840.00,"1,519,025.63",刘芷利,2088****0156,快捷支付
2026-01-22,08:58:16,网转,0200,+780.00,"1,529,751.43",焦思悦,6212260200129263196,手机银行
2026-01-22,11:32:27,他行汇入,1001,+900.00,"1,521,825.43",其他,,
2026-01-22,13:08:24,银联入账,1001,"+1,176.00","1,523,001.43",陈嘉选,2088****0156,网上银行
2026-01-22,13:50:48,银联入账,,"+1,520.00","1,524,521.43",杨永,2088****0156,网上银行
2026-01-22,14:32:22,银联入账,1001,+840.00,"1,525,361.43",杨小玲,2088****0156,网上银行
2026-01-22,14:42:48,银联入账,1001,"+1,000.00","1,526,361.43",吴婉莹,2088****0156,网上银行
2026-01-22,14:46:22,银联入账,1001,"+1,140.00","1,527,501.43",杨小玲,2088****0156,网上银行
2026-01-22,14:54:25,他行汇入,1001,"+1,050.00","1,530,801.43",高素静,6217002510012621165,其他
2026-01-22,16:55:13,他行汇入,1001,"+1,410.00","1,532,211.43",王宇铨,6214837643557188,其他
2026-01-22,16:57:30,网转,1202,"+1,358.00","1,533,569.43",叶景帅,6222081202009891423,手机银行
2026-01-22,16:59:47,他行汇入,1001,"+10,500.00","1,544,069.43",陈淑娴,6214855860957303,其他
2026-01-22,20:13:15,他行汇入,1001,"+1,500.00","1,520,525.63",余晓宁,6214835982181032,其他
2026-01-23,19:47:10,银联入账,,"+1,024.00","1,545,093.43",方佳玲,2088****0156,网上银行
2026-01-23,19:47:10,他行汇入,1001,+900.00,"1,545,993.43",涂佳月,6214837852465933,其他
2026-01-23,19:50:09,他行汇入,1001,+840.00,"1,546,833.43",彭诗琦,6230520460273578975,其他
2026-01-23,20:39:09,银联入账,1001,+700.00,"1,547,533.43",邹梦琪,2088****0156,网上银行
2026-01-23,21:27:25,他行汇入,1001,"+1,980.00","1,549,513.43",赵子绮,6217866000002435508,其他
2026-01-23,22:53:49,支付宝转账,1001,"+2,570.10","1,552,083.53",高妙纯,2088****0156,快捷支付
2026-01-24,08:01:15,银联入账,1001,+900.00,"1,554,033.53",赵锡囡,2088****0156,网上银行
2026-01-24,22:58:03,他行汇入,1001,"+1,050.00","1,553,133.53",史艺薇,6214180002065130485,其他
2026-01-25,03:30:10,他行汇入,1001,"+1,540.00","1,556,653.53",玉染华,6227003378320019607,其他
2026-01-25,14:54:13,网转,1202,"+1,080.00","1,555,113.53",崔景涛,,
2026-01-25,22:51:45,他行汇入,1001,+900.00,"1,557,553.53",王思远,6216697600000715269,其他
2026-01-26,10:27:20,银联入账,1001,"+1,450.00","1,560,821.53",活期人民,,
2026-01-26,17:36:01,银联入账,1001,"+2,125.00","1,562,946.53",王颖,2088****0156,快捷支付
2026-01-26,17:36:01,银联入账,,+555.00,"1,563,501.53",施璐,2088****0156,网上银行
2026-01-26,23:17:27,银联入账,1001,"+1,000.00","1,558,553.53",叶凯曼,2088****0156,网上银行
2026-01-28,00:10:29,他行汇入,1001,"+3,600.00","1,579,283.03",唐佳,6214830433597175,其他
2026-01-28,10:37:41,他行汇入,1001,+75.00,"1,581,008.03",王颜佳,6214836125153961,其他
2026-01-28,11:43:59,他行汇入,1001,"+1,751.50","1,565,253.03",张秋荣,6230522050046984572,其他
2026-01-28,13:42:02,支付宝转账,1001,+300.00,"1,581,308.03",倪紫薇,2088****0156,快捷支付
2026-01-28,14:14:51,支付宝转账,1001,"+5,250.00","1,570,503.03",汪梦涵,2088****0156,快捷支付
2026-01-28,14:14:51,他行汇入,1001,"+1,540.00","1,572,043.03",严竑博,6221805200042524107,其他
2026-01-28,16:07:47,网转,2013,"+1,050.00","1,580,333.03",黄扬扬,6212262013026307208,手机银行
2026-01-28,16:25:35,他行汇入,1001,+600.00,"1,580,933.03",林嘉欣,6217003120010732284,其他
2026-02-02,17:07:00,支付宝,,+540.00,"1,581,848.03",徐菁,2088****0156,快捷支付
2026-02-02,17:07:00,他行汇入,1001,+480.00,"1,582,328.03",黄玉林,6214832146179937,其他
2026-02-02,17:08:02,他行汇入,1001,+420.00,"1,582,748.03",丁理丽,6214832081255718,其他
2026-02-02,17:35:24,银联入账,1001,"+2,288.00","1,585,036.03",曹思颖,2088****0156,网上银行
2026-02-02,17:50:41,支付宝转账,1001,+600.00,"1,585,636.03",朱梦雪,2088****0156,快捷支付
2026-02-02,17:50:41,银联入账,1001,+300.00,"1,585,936.03",蒋广丽,2088****0156,网上银行
2026-02-03,00:24:19,他行汇入,1001,"+3,086.10","1,607,042.13",其他,,
2026-02-03,10:49:12,银联入账,1001,+630.00,"1,589,566.03",李春梅,2088****0156,网上银行
2026-02-03,14:02:00,支付宝,1001,"+9,380.00","1,598,946.03",刘欢,,
2026-02-03,14:02:00,银联入账,1001,"+2,550.00","1,601,496.03",郑妮,2088****0156,网上银行
